ID	Team	Rating	Avg opp Rating	PF	PA
636	                        Kansas	5.006	3.919	79.606	70.455
629	                       Iowa St	4.871	3.786	82.879	73.909
810	                          UCLA	4.737	3.543	81.824	70.765
577	                          Duke	4.672	3.485	78.647	67.088
849	                     Wisconsin	4.581	3.596	73.546	64.576
511	                       Arizona	4.577	3.598	73.059	58.147
562	                     Creighton	4.538	3.521	79.546	67.424
671	                   Michigan St	4.536	3.614	75.941	65.324
721	                      Oklahoma	4.520	3.728	82.156	75.875
722	                   Oklahoma St	4.397	3.719	80.333	69.091
725	                        Oregon	4.392	3.571	81.844	74.000
670	                      Michigan	4.390	3.654	74.394	65.364
651	                    Louisville	4.354	3.235	82.118	60.971
793	                         Texas	4.344	3.726	74.121	70.030
829	                     Villanova	4.309	3.592	78.531	66.594
640	                      Kentucky	4.302	3.517	75.912	66.647
521	                        Baylor	4.275	3.823	73.788	68.394
536	                           BYU	4.262	3.298	84.212	77.546
592	                       Florida	4.251	3.449	70.735	57.941
559	                   Connecticut	4.231	3.375	71.853	63.118
628	                          Iowa	4.192	3.459	82.000	70.094
708	                North Carolina	4.180	3.505	76.313	69.063
737	                    Providence	4.109	3.497	73.206	69.529
556	                      Colorado	4.090	3.567	70.853	67.941
720	                       Ohio St	4.075	3.478	69.794	59.765
825	               VA Commonwealth	4.067	3.212	74.971	64.853
783	                      Stanford	4.063	3.621	73.515	68.636
843	                 West Virginia	4.027	3.701	77.531	73.281
512	                    Arizona St	3.982	3.524	75.031	68.875
731	                    Pittsburgh	3.977	3.384	72.471	62.353
663	                 Massachusetts	3.973	3.326	76.094	70.750
853	                        Xavier	3.969	3.532	72.212	67.939
830	                      Virginia	3.941	3.382	65.941	55.294
701	                    New Mexico	3.927	3.105	74.636	66.364
515	                      Arkansas	3.905	3.260	80.250	71.219
637	                     Kansas St	3.880	3.693	69.719	65.719
666	                       Memphis	3.872	3.405	76.839	70.161
786	                      Syracuse	3.869	3.440	68.156	59.500
607	                       Gonzaga	3.861	3.239	75.818	64.546
695	                      NC State	3.854	3.338	70.794	69.471
676	                      Missouri	3.836	3.359	72.879	69.485
539	                    California	3.832	3.557	72.375	69.500
569	                        Dayton	3.774	3.205	73.394	67.636
673	                     Minnesota	3.773	3.495	70.875	67.813
764	                    Seton Hall	3.755	3.406	71.824	69.853
778	                     St John's	3.740	3.478	72.656	67.031
846	                    Wichita St	3.738	2.900	74.939	59.879
779	                St Joseph's PA	3.712	3.253	71.273	66.939
549	                    Cincinnati	3.706	3.275	68.727	58.333
840	                    Washington	3.705	3.415	74.500	74.688
655	                           LSU	3.704	3.312	75.063	71.250
674	                   Mississippi	3.700	3.266	75.212	72.727
599	                  G Washington	3.682	3.277	73.406	66.875
662	                      Maryland	3.678	3.431	70.938	67.688
595	                    Florida St	3.678	3.447	70.406	65.844
625	                       Indiana	3.667	3.475	72.250	67.563
726	                     Oregon St	3.650	3.515	75.258	74.968
603	                    Georgetown	3.640	3.608	70.226	67.387
660	                     Marquette	3.611	3.499	72.188	68.719
790	                     Tennessee	3.610	3.409	70.500	61.375
738	                        Purdue	3.604	3.487	72.250	71.656
839	                   Wake Forest	3.587	3.419	69.697	70.939
729	                       Penn St	3.578	3.452	71.500	70.906
767	                           SMU	3.524	3.215	71.375	62.281
623	                      Illinois	3.520	3.521	64.636	62.546
717	                    Notre Dame	3.519	3.386	71.969	70.563
796	                    Texas Tech	3.518	3.764	68.438	68.438
573	                        DePaul	3.513	3.547	69.394	75.364
698	                      Nebraska	3.512	3.488	67.000	64.871
526	                      Boise St	3.498	3.122	75.031	70.063
775	                St Bonaventure	3.492	3.113	73.364	70.091
650	                Louisiana Tech	3.474	2.738	80.273	65.576
627	                          Iona	3.470	2.942	83.500	77.219
769	                South Carolina	3.470	3.341	68.324	69.882
798	                        Toledo	3.423	2.768	79.156	74.031
821	                          Utah	3.423	3.493	72.300	65.233
754	                  San Diego St	3.417	3.173	68.355	57.839
570	                      Delaware	3.416	2.700	79.529	75.147
617	                       Houston	3.400	3.192	71.061	73.000
780	                      St Louis	3.376	3.145	70.065	61.807
789	                        Temple	3.372	3.375	73.903	78.097
781	                  St Mary's CA	3.372	3.107	71.656	66.406
817	                          UNLV	3.370	3.014	71.364	65.576
604	                       Georgia	3.367	3.330	69.031	66.750
802	                         Tulsa	3.363	2.872	73.091	67.364
818	                           USC	3.362	3.637	70.484	75.903
702	                 New Mexico St	3.328	2.673	76.647	67.500
743	                      Richmond	3.313	3.287	66.546	65.152
606	                  Georgia Tech	3.297	3.313	66.667	66.788
699	                        Nevada	3.287	3.079	72.375	73.875
527	                Boston College	3.283	3.527	68.710	74.323
504	                       Alabama	3.277	3.558	66.710	67.258
522	                       Belmont	3.252	2.720	79.500	74.500
658	                     Manhattan	3.239	2.849	77.375	70.000
755	                 San Francisco	3.215	3.143	73.833	71.867
719	                          Ohio	3.200	2.802	71.273	67.121
811	                           ULL	3.200	2.760	79.839	76.226
732	                      Portland	3.193	3.030	75.065	72.032
715	                  Northwestern	3.186	3.612	59.515	63.364
746	                       Rutgers	3.174	3.265	69.719	75.813
597	                     Fresno St	3.170	3.083	71.710	72.710
551	                       Clemson	3.168	3.345	63.344	57.969
602	                  George Mason	3.134	3.266	69.484	72.032
541	                      Canisius	3.132	2.822	77.875	74.250
641	                      La Salle	3.109	3.279	67.742	68.387
668	                      Miami FL	3.098	3.277	61.485	59.515
652	                 Loy Marymount	3.094	3.110	72.419	76.936
518	                        Auburn	3.089	3.277	71.467	71.833
535	                        Butler	3.088	3.526	67.500	67.433
714	                 Northern Iowa	3.071	3.057	72.333	69.900
845	                  WI Milwaukee	3.069	2.729	70.394	70.909
739	                    Quinnipiac	3.069	2.798	79.129	76.742
718	                       Oakland	3.053	3.036	73.613	78.613
528	                   Boston Univ	3.038	2.580	71.471	67.059
675	                Mississippi St	3.037	3.125	67.697	71.303
827	                    Vanderbilt	3.034	3.365	64.581	65.548
836	                    W Michigan	3.033	2.775	72.161	68.097
503	                         Akron	3.027	2.851	67.909	66.030
596	                       Fordham	3.022	3.129	71.742	78.032
772	                 Southern Miss	3.019	2.765	70.677	63.323
794	                     Texas A&M	3.011	3.204	65.156	63.438
822	                       Utah St	2.999	2.984	68.742	67.065
565	                 CS Northridge	2.997	2.583	75.939	77.546
605	                    Georgia St	2.996	2.593	77.645	68.387
741	                  Rhode Island	2.962	3.209	67.839	68.226
667	                        Mercer	2.961	2.688	77.194	67.452
727	                       Pacific	2.959	3.137	72.138	74.655
626	                    Indiana St	2.954	2.877	69.936	67.129
771	                 South Florida	2.941	3.255	65.625	70.750
546	                     Charlotte	2.938	2.799	71.452	71.645
758	                   Santa Clara	2.932	3.075	69.645	71.774
730	                    Pepperdine	2.924	3.020	70.833	72.633
824	                          UTEP	2.922	2.800	69.032	64.387
704	                       Niagara	2.921	2.824	75.273	82.091
578	                      Duquesne	2.917	2.995	73.333	73.700
568	                      Davidson	2.910	2.644	77.710	72.774
557	                   Colorado St	2.908	2.963	71.300	70.167
809	                           UCF	2.904	3.284	71.379	74.172
678	                   Missouri St	2.891	2.869	68.323	68.645
788	                           TCU	2.890	3.698	63.333	72.567
581	                    E Michigan	2.890	2.968	63.906	62.438
745	                 Robert Morris	2.887	2.667	71.559	71.265
807	                     UC Irvine	2.887	2.801	69.156	63.563
613	                        Hawaii	2.885	2.743	78.310	73.207
580	                    E Kentucky	2.873	2.610	77.387	71.936
686	                  Mt St Mary's	2.865	2.669	76.250	77.969
612	                       Harvard	2.862	2.559	73.448	61.310
672	                Middle Tenn St	2.845	2.772	68.452	62.903
586	                          ETSU	2.844	2.529	75.781	75.844
799	                        Towson	2.842	2.673	72.250	68.219
689	                   N Dakota St	2.836	2.687	74.750	67.464
552	                  Cleveland St	2.836	2.825	72.067	66.933
716	               Northwestern LA	2.834	2.536	85.448	84.379
624	                   Illinois St	2.832	2.956	68.667	69.600
766	                         Siena	2.830	2.939	69.906	71.625
647	                 Long Beach St	2.829	3.145	69.433	70.700
620	                         Idaho	2.824	2.606	72.212	74.909
841	                 Washington St	2.817	3.584	61.800	67.700
831	                 Virginia Tech	2.813	3.340	62.903	67.000
682	                   Morehead St	2.802	2.713	75.065	73.484
805	                           UAB	2.794	2.818	72.207	70.655
